universe_id,property,score,transition_depth
96,composition,0.0,26.0
96,closure,0.8846153846153846,3.0
96,arithmetic,0.0,0.0
96,geometry,1.0,3.0
96,dimension,0.0,0.0
97,distinction,0.5,2.0
97,persistence,1.0,1.0
97,composition,0.0,26.0
97,closure,0.9230769230769231,2.0
97,arithmetic,0.0,0.0
97,geometry,1.0,2.0
97,dimension,0.0,0.0
98,distinction,0.2,5.0
98,persistence,1.0,4.0
98,composition,0.16,1.0
98,closure,0.8076923076923077,5.0
98,arithmetic,0.25,3.0
98,geometry,1.0,5.0
98,dimension,0.0,0.0
99,distinction,0.5,2.0
99,persistence,1.0,1.0
99,composition,0.04,1.0
99,closure,0.9230769230769231,2.0
99,arithmetic,0.0,0.0
99,geometry,1.0,2.0
99,dimension,0.0,0.0
100,distinction,1.0,1.0
100,persistence,1.0,0.0
100,composition,0.0,26.0
100,closure,0.9615384615384616,1.0
100,arithmetic,0.0,0.0
100,geometry,0.0,26.0
100,dimension,0.0,0.0
101,distinction,0.3333333333333333,3.0
101,persistence,1.0,2.0
101,composition,0.04,1.0
101,closure,0.8846153846153846,3.0
101,arithmetic,0.0,0.0
101,geometry,1.0,3.0
101,dimension,0.0,0.0
102,distinction,1.0,1.0
102,persistence,1.0,0.0
102,composition,0.0,26.0
102,closure,0.9615384615384616,1.0
102,arithmetic,0.0,0.0
102,geometry,0.0,26.0
102,dimension,0.0,0.0
103,distinction,0.5,2.0
103,persistence,1.0,1.0
103,composition,0.0,26.0
103,closure,0.9230769230769231,2.0
103,arithmetic,0.0,0.0
103,geometry,1.0,2.0
103,dimension,0.0,0.0
104,distinction,0.5,2.0
104,persistence,1.0,1.0
104,composition,0.0,26.0
104,closure,0.9230769230769231,2.0
104,arithmetic,0.0,0.0
104,geometry,1.0,2.0
104,dimension,0.0,0.0
105,distinction,1.0,1.0
105,persistence,1.0,0.0
105,composition,0.0,26.0
105,closure,0.9615384615384616,1.0
105,arithmetic,0.0,0.0
105,geometry,0.0,26.0
105,dimension,0.0,0.0
106,distinction,1.0,1.0
106,persistence,1.0,0.0
106,composition,0.0,26.0
106,closure,0.9615384615384616,1.0
106,arithmetic,0.0,0.0
106,geometry,0.0,26.0
106,dimension,0.0,0.0
107,distinction,0.5,2.0
107,persistence,1.0,1.0
107,composition,0.04,1.0
107,closure,0.9230769230769231,2.0
107,arithmetic,0.0,0.0
107,geometry,1.0,2.0
107,dimension,0.0,0.0
108,distinction,0.5,2.0
108,persistence,1.0,1.0
108,composition,0.0,26.0
108,closure,0.9230769230769231,2.0
108,arithmetic,0.0,0.0
108,geometry,1.0,2.0
108,dimension,0.0,0.0
109,distinction,0.5,2.0
109,persistence,1.0,1.0
109,composition,0.04,1.0
109,closure,0.9230769230769231,2.0
109,arithmetic,0.0,0.0
109,geometry,1.0,2.0
109,dimension,0.0,0.0
110,distinction,1.0,1.0
110,persistence,1.0,0.0
110,composition,0.0,26.0
110,closure,0.9615384615384616,1.0
110,arithmetic,0.0,0.0
110,geometry,0.0,26.0
110,dimension,0.0,0.0
111,distinction,1.0,1.0
111,persistence,1.0,0.0
111,composition,0.0,26.0
111,closure,0.9615384615384616,1.0
111,arithmetic,0.0,0.0
111,geometry,0.0,26.0
111,dimension,0.0,0.0
112,distinction,1.0,1.0
112,persistence,1.0,0.0
112,composition,0.0,26.0
112,closure,0.9615384615384616,1.0
112,arithmetic,0.0,0.0
112,geometry,0.0,26.0
112,dimension,0.0,0.0
113,distinction,0.3333333333333333,3.0
113,persistence,1.0,2.0
113,composition,0.04,1.0
113,closure,0.8846153846153846,3.0
113,arithmetic,0.25,2.0
113,geometry,0.9999999999981798,3.0
113,dimension,0.0,0.0
114,distinction,0.3333333333333333,3.0
