K,dwell_time,c_var_during,c_var_pre,c_var_post,trans_stabilization,trans_locking,r_pre,r_during,r_post,in_transition,mean_c
0.41561999673502803,0.825,0.045514286199367954,0.04528039668758049,0.06523033965150699,1,0,0.6441778235986465,0.4551294847447689,0.5884080104503886,1,0.3675685741578286
0.5792405290031435,0.0,0.09240297224486575,0.03277641133832952,0.006979052498617748,0,0,0.5334814446411787,0.9081329778871957,0.8243779332070864,0,0.6989433392555804
0.7581088734579157,0.0,0.04647583331830286,0.06309297827341928,0.020181224800700923,1,0,0.9654175343016531,0.9536483815262541,0.9486614658092204,0,0.7870955967969212
0.16153573891929085,0.52,0.02016582185082577,0.010601988440939847,0.005598252943961741,0,0,0.4917023931430611,0.2819876036011562,0.3603602841948051,0,0.15292270524843293
0.036003256224011015,0.55,0.09278913258714501,0.05310255002955128,0.03146360935241585,0,0,0.5624170386143649,0.42200460666066225,0.4949039926922881,1,0.24808064390516954
0.3362548167301743,0.0,0.08888136629054115,0.06858801060367581,0.00442872745431599,0,0,0.6323916571982532,0.9233316408561553,0.8556277024209464,0,0.7363796428838527
0.54821891378156,0.67,0.013036299350112806,0.009962502110148715,0.015368763274838234,1,0,0.6616955487142178,0.641095337491484,0.5255097134937118,1,0.4087974408550141
0.01603261442285764,0.615,0.029788100015920208,0.03728928596741189,0.0020940656756641626,1,0,0.27601759023526523,0.33387538345986234,0.3630987111511768,1,0.1391825857954139
0.1850770891683814,0.725,0.056550014985789245,0.07772067667526895,0.06703513486105037,1,0,0.3645189700972049,0.417727227305992,0.4791191578247404,1,0.24963968833254035
0.7950139372811043,0.0,0.023090186634790174,0.0917707723133492,0.006142774625271386,1,0,0.9617278699430464,0.9627998382549251,0.9598856198768044,0,0.9202772805318694
0.7819434716988343,0.0,0.02117347950764225,0.06831085102385695,0.010299479219866637,1,0,0.9208073591494688,0.890290341880484,0.85352275981653,0,0.7515368242025934
0.14532881388645824,0.8,0.02258101262317718,0.03945703319003856,0.039795402041650434,1,0,0.35748641719402136,0.5891490772726984,0.3073742270038871,1,0.23316852283676967
0.13664125041462183,0.39,0.06061868723930558,0.08040656858404907,0.009990108902702686,1,0,0.3089604341350127,0.2739634861426577,0.47234929305821916,0,0.20172322631922188
0.5485082124605497,0.345,0.037788987428037796,0.07352607517385937,0.03372116302340997,1,0,0.7403487934478141,0.7491853178511354,0.7525406139731886,0,0.5765307453425391
0.8098773210654027,0.0,0.018117872133640776,0.07016857837615514,0.007308241744524525,1,0,0.8673519130228817,0.883316891567488,0.8559192208702961,0,0.7497307202403337
0.11149379661547176,0.795,0.043284352668445984,0.025300528084774593,0.05592019614488676,1,0,0.5950246985404454,0.5708966492649479,0.27167713326573906,1,0.18645481034479425
0.8101557180489574,0.295,0.10365068879479995,0.05989566392208348,0.09686518415176475,0,0,0.6193137841398197,0.4884666914456554,0.3467821217939786,1,0.18069606551514988
0.1167458729899834,0.73,0.051547277293789856,0.037507760211243336,0.16779803601864215,1,0,0.4497295325914528,0.3536871844931446,0.7622800202432112,1,0.5197941137183073
