sim,transition_type,pre_shared_c,trans_shared_c,post_shared_c,pre_overlap,post_overlap,pre_c_range,post_c_range,fragmentation_change,shared_survives,reorganization,pre_order,post_order
79,closure_reorg,0.4029250681870393,0.43721454367272067,0.3990923390884631,0.9735611197894588,0.8379685116051913,0.057250770762395764,0.3390945932749436,0.28184382251254786,1,0.8,0.8509610060433489,0.4506044558097567
80,coupling_weaken,0.5771766370650541,0.5964874115671559,0.33689515605931947,0.9792912209908279,0.9743206992361049,0.039274712687960456,0.054787878082911856,0.0155131653949514,1,1.0,0.8916472959487911,0.20967768667700473
81,fragmentation,0.33244867549384916,0.46456332807010314,0.2705562854545868,0.8918814602745808,0.896021613054351,0.16779300940477931,0.1719784858917177,0.004185476486938372,0,1.0,0.8658924175499224,0.1447109894948621
82,fragmentation,0.8216688429735305,0.8356005141882972,0.383658248355963,0.9858174600167494,0.8954589348854185,0.032715815359901756,0.2444205002190113,0.21170468485910954,1,1.0,0.9499068812848855,0.5045868317385372
83,coupling_strengthen,0.4630186229177226,0.5127513152744873,0.48053530090205887,0.9615733804568154,0.8881293400682293,0.07886924224544184,0.25665586100625293,0.1777866187608111,1,0.4,0.9141535222704152,0.6959749852520162
84,coupling_strengthen,0.14329613699856605,0.15069852946198126,0.5624744462694143,0.9203058011412705,0.8771026369378057,0.17206708640116214,0.27743186164982175,0.10536477524865961,1,0.6,0.3382424551834022,0.7311795189181147
85,coupling_weaken,0.8095729839422989,0.8325898734602538,0.3879325561634494,0.9936082897360337,0.966802022780801,0.010873421471508382,0.07616397176549256,0.06529055029398417,1,0.8,0.9713739793837948,0.693737030854682
86,bifurcation,0.578665040984555,0.5911263894898144,0.44009824810716375,0.9790366794913374,0.9396524015161413,0.05524421553817438,0.1241634288577465,0.06891921331957213,1,0.0,0.8360069332067463,0.34263613608072974
87,fragmentation,0.603625524293045,0.6068966950485369,0.367493193430798,0.9672326040709038,0.9593634789986578,0.0718053454732559,0.08555775392449744,0.013752408451241538,1,1.0,0.8030805650877604,0.45767807443105524
88,closure_reorg,0.5801861599892653,0.5873406598016997,0.5382906788711449,0.9528103062940619,0.7316390120063445,0.097184353383728,0.6274848119404521,0.5303004585567241,1,0.0,0.8294262650210688,0.6851547610552667
